gender,hours
female,2
female,10
male,1
male,1
female,2
female,13
male,21
male,3
female,10
female,7
male,1
male,5
female,5
female,16
female,5
male,1
male,1
female,28
male,0
male,6
male,1
female,14
male,5
female,15
male,80
female,10
female,10
female,84
male,5
male,25
male,0
female,5
male,12
male,14
male,6
male,80
male,5
female,18
female,5
female,6
female,12
female,5
male,30
female,8
male,70
male,10
male,7
female,1
male,4
male,15
female,14
female,1
female,1
female,5
male,15
male,10
female,12
female,30
male,1
male,20
female,1
female,30
male,3
male,3
female,3
female,1
male,15
female,21
male,8
male,1
female,1
female,4
male,14
male,2
male,4
female,60
male,0
male,22
male,25
female,7
male,122
male,3
female,10
male,0
male,2
male,60
female,40
female,36
female,3
female,8
female,12
male,20
male,0
female,50
female,3
female,1
female,30
female,5
male,5
female,20
female,5
male,20
male,1
male,4
female,3
male,0
female,50
male,20
female,20
female,20
female,1
female,30
male,100
female,7
male,1
female,2
female,36
female,5
female,35
male,25
female,10
female,3
female,2
female,6
female,2
male,0
female,3
female,20
female,4
female,25
female,2
female,5
female,28
male,30
male,60
female,35
female,5
female,20
male,10
male,24
female,7
female,5
female,2
female,4
female,5
male,25
female,5
male,1
female,10
male,12
female,3
female,25
female,2
female,120
male,0
male,1
male,25
male,2
male,0
female,5
female,1
female,20
male,14
female,40
male,5
male,20
female,8
male,0
female,3
male,30
male,1
female,30
male,10
female,1
male,2
male,10
male,3
female,14
male,2
male,10
male,2
female,2
female,30
male,1
female,40
male,40
female,55
female,10
male,60
male,30
male,3
male,15
male,10
female,3
male,24
male,15
male,1
female,30
female,4
female,7
female,15
female,7
male,3
female,3
female,1
female,4
female,5
female,10
female,30
male,30
female,45
male,1
female,10
female,7
female,2
female,3
male,1
female,5
female,20
female,40
female,2
male,60
male,5
male,25
female,45
male,10
male,5
female,28
female,20
male,1
female,40
female,7
male,20
male,15
male,40
male,0
female,10
male,20
male,10
male,4
male,15
male,5
male,12
female,10
female,1
male,15
male,15
male,10
female,6
female,10
female,3
female,15
female,20
male,30
male,7
female,5
male,8
female,2
female,4
female,0
male,2
male,0
male,6
female,4
female,2
female,4
female,20
female,2
female,0
male,5
female,4
female,5
female,20
male,2
male,50
female,3
male,15
male,25
male,5
female,40
male,1
female,3
male,2
male,7
female,2
male,14
female,2
female,0
male,9
female,15
female,2
female,7
male,10
male,7
female,4
female,2
female,20
male,25
female,10
female,1
male,1
male,7
female,18
female,2
female,14
female,10
female,2
female,30
male,2
male,20
female,20
female,10
male,1
female,5
male,25
female,5
female,3
female,3
male,2
female,1
female,3
female,0
female,8
male,50
male,20
female,2
male,15
male,15
female,5
male,4
female,28
female,0
female,4
female,3
female,0
male,50
female,1
male,15
female,2
female,20
female,0
female,12
male,20
female,10
female,1
male,1
female,15
male,10
female,2
female,20
female,7
female,3
female,20
male,5
male,100
male,12
female,20
male,10
female,3
female,3
male,25
male,10
female,8
female,10
female,21
female,20
female,20
male,0
male,30
female,1
female,10
female,15
female,6
male,1
male,0
female,3
female,2
male,1
male,7
male,1
female,0
female,8
male,12
female,12
female,12
male,30
male,2
female,35
male,5
male,10
female,12
male,16
female,2
female,7
female,1
female,10
female,20
female,18
female,10
female,10
male,0
female,5
male,0
female,10
female,14
male,40
male,10
female,4
female,3
female,14
male,2
male,6
female,21
female,16
male,20
female,2
male,30
female,3
male,1
female,30
male,0
male,12
male,2
female,12
female,14
male,4
male,6
male,10
female,21
male,40
female,70
male,1
male,84
female,6
male,1
female,8
male,24
female,14
male,6
female,0
female,2
female,6
female,30
male,2
male,20
female,35
female,10
female,6
male,7
female,6
female,0
female,20
female,20
male,0
female,25
male,3
